"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #leaseholders","Value #memory"
2022-09-05 15:26:15,34.148.111.75:26258,1072,784,1.17,0.399,204918318,11115209,10940273,0,0,0.161,0,0,0,205,19409567,2221807,3398,1174,0,13390315,0.0455,118432,108114840,114496150,0,422,9823297536
2022-09-05 15:26:30,34.148.111.75:26258,1071,786,1.17,0.370,203874699,10478321,10441015,0,0,0.0781,0,0,0,410,19296204,2230477,3380,1178,0,13343129,0.136,109205,129213987,136109967,0,422,9700253696
2022-09-05 15:26:45,34.148.111.75:26258,1071,791,0.833,0.373,202972718,728759,8362214,0,0,0.102,0,0,0,614,19039109,2246897,3336,1184,0,13280214,0.0455,103711,136152411,144272832,0,422,9601732608
2022-09-05 15:27:00,34.148.111.75:26258,1071,793,1,0.376,201741644,308364,7886568,0,0,0.103,0,0,0,614,18908225,2253929,3313,1187,0,13248757,0.0909,103342,142814881,150905872,0,422,9522638848
2022-09-05 15:27:15,34.148.111.75:26258,1071,798,1.17,0.391,201857589,323459,8398677,0,0,0.119,1,28,0,410,18654121,2269521,3268,1193,0,13170114,0.0909,104703,151920589,161649353,0,422,9621168128
2022-09-05 15:27:30,34.148.111.75:26258,1071,801,1.17,0.387,202767706,321190,8809502,0,0,0.105,1,16,0,410,18529229,2276805,3248,1196,0,13138656,0.0909,101896,159154879,168251985,0,422,9617948672
2022-09-05 15:27:45,34.148.111.75:26258,1071,805,1.33,0.390,203148027,343460,9213487,0,0,0.0656,1,9,0,614,18285265,2291793,3205,1202,0,13096713,0.136,100864,167590068,176663563,0,422,9632481280
2022-09-05 15:28:00,34.148.111.75:26258,1071,807,1.33,0.400,204321743,342364,9080258,0,0,0.0931,1,6,0,614,18166002,2298988,3184,1205,0,13080985,0.0909,101920,181648983,191214409,0,422,9470533632
2022-09-05 15:28:15,34.148.111.75:26258,1072,812,1.33,0.417,208233197,392018,9019659,0,0,0.108,1,2,0,614,17932924,2313587,3142,1211,0,13060013,0.0455,106682,216246015,224089827,0,422,8804737024
2022-09-05 15:28:30,34.148.111.75:26258,1071,814,1.50,0.405,209198963,423689,9041266,0,0,0.126,1,3,0,614,17818790,2320149,3124,1213,0,13049527,0.136,108492,211715511,219591607,0,422,8505716736
2022-09-05 15:28:45,34.148.111.75:26258,1072,818,1.67,0.402,212292601,427936,9228779,0,0,0.0844,0,0,0,614,17596433,2333724,3085,1219,0,13023313,0.0455,113763,208005358,216370208,0,422,7939923968
2022-09-05 15:29:00,34.148.111.75:26258,1071,820,1.50,0.405,214803859,393476,9150791,0,0,0.109,0,0,0,410,17488220,2340120,3066,1221,0,13012827,0.0455,116480,207121324,214646251,0,422,7679549440
2022-09-05 15:29:15,34.148.111.75:26258,1071,824,1.33,0.401,216580887,357841,9373509,0,0,0.0637,0,0,0,614,17275872,2353462,3028,1226,0,12991856,0,114399,193534522,201204929,0,422,7290429440
2022-09-05 15:29:30,34.148.111.75:26258,1071,826,1.17,0.401,217277786,379839,9494035,0,0,0.196,0,0,0,410,17172866,2358802,3012,1229,0,12976127,0.0909,113954,203902472,210992381,0,422,7154184192
2022-09-05 15:29:45,34.148.111.75:26258,1072,830,0.833,0.465,222767895,3198156,10464787,0,0,0.0962,1,15,0,614,17962693,2371098,3136,1234,0,12955155,0,113782,195266780,203615554,0,422,7687606272
2022-09-05 15:30:00,34.148.111.75:26258,1071,832,0.833,0.386,221104552,3188850,10297083,0,0,0.0638,1,15,0,614,17857317,2376421,3118,1236,0,12944670,0.0455,115403,195886393,204400487,0,422,7447478272
2022-09-05 15:30:15,34.148.111.75:26258,1071,835,0.667,0.405,221145964,2512977,10448645,0,0,0.0725,1,11,0,410,17648594,2387795,3081,1241,0,12918455,0,116878,208525662,217231973,0,422,6993432576
2022-09-05 15:30:30,34.148.111.75:26258,1072,837,0.667,0.409,220361777,324941,10038784,0,0,0.112,1,7,0,410,17546518,2393496,3065,1243,0,12907970,0.227,113721,205455401,213924091,0,422,6808203264
2022-09-05 15:30:45,34.148.111.75:26258,1071,840,1.50,0.404,226463928,335180,10124622,0,0,0.101,1,6,0,205,17346900,2404716,3029,1248,0,14019460,0.136,112010,205770115,213798640,0,422,6428913664
2022-09-05 15:31:00,34.148.111.75:26258,1071,842,1.67,0.400,229859243,332485,10455987,0,0,0.1000,1,5,0,205,17249789,2410278,3012,1250,0,13972274,0.0909,110350,199129236,206990090,0,422,6329700352
2022-09-05 15:31:15,34.148.111.75:26258,1071,845,2.17,0.403,235630564,345851,9931079,0,0,0.0581,0,0,0,0,17071123,2419849,2980,1254,0,15214837,0.136,110577,212277532,220433273,0,422,5966794752
2022-09-05 15:31:30,34.148.111.75:26258,1072,847,2.17,0.403,238243176,342049,9749592,0,0,0.148,0,0,0,0,16984525,2425219,2967,1256,0,15193865,0.0455,112260,212869077,220548419,0,422,5759614976
2022-09-05 15:31:45,34.148.111.75:26258,1071,850,1.50,0.407,242475742,339792,9815874,0,0,0.0844,0,0,0,0,16818127,2435280,2938,1260,0,15141436,0.136,112064,204771994,213138844,0,422,5519085568
2022-09-05 15:32:00,34.148.111.75:26258,1072,852,1.17,0.395,243511324,321421,9931262,0,0,0.0712,0,0,0,0,16728152,2439863,2922,1262,0,15120465,0.0909,113152,198400975,206345637,0,422,5525512192
2022-09-05 15:32:15,34.148.111.75:26258,1071,855,0.667,0.404,246446433,318171,9520195,0,0,0.134,0,0,0,0,16552586,2450154,2891,1266,0,15078522,0.0455,110721,203158579,211898252,0,422,5312053248
2022-09-05 15:32:30,34.148.111.75:26258,1072,856,0.667,0.409,248510888,311230,9945043,0,0,0.106,0,0,0,0,16465745,2454858,2878,1268,0,15047065,0.0455,109161,207260700,216170759,0,422,5219856384
2022-09-05 15:32:45,34.148.111.75:26258,1071,859,0.667,0.401,250087975,326543,10178177,0,0,0.155,1,15,0,0,16295251,2464138,2847,1272,0,15891168,0.0455,109073,201011116,209338319,0,422,4972756992
2022-09-05 15:33:00,34.148.111.75:26258,1071,861,1.17,0.404,249912412,324147,10711125,0,0,0.0938,1,15,0,0,16211267,2468318,2833,1274,0,15880683,0.136,110654,201667415,211365662,0,422,4847001600
2022-09-05 15:33:15,34.148.111.75:26258,1071,863,1.50,0.406,249974897,328604,10805892,0,0,0.0613,1,9,0,0,16046505,2477138,2803,1278,0,15854468,0.0455,113650,213525945,221381071,0,422,4727422976
2022-09-05 15:33:30,34.148.111.75:26258,1072,865,1.33,0.411,250384695,331288,10836572,0,0,0.126,1,7,0,0,15944800,2482019,2788,1278,0,15843982,0.136,114671,213157702,221556403,0,424,4763365376
2022-09-05 15:33:45,34.148.111.75:26258,1071,870,1.50,0.449,250312520,8825514,12859847,0,0,0.142,1,11,0,0,16147163,2498010,2818,1283,0,15823011,0.0909,117786,204030365,212584989,0,424,5519794176
2022-09-05 15:34:00,34.148.111.75:26258,1072,871,1.17,0.546,251323682,12330149,13607532,0,0,0.169,1,8,0,0,17472660,2501079,3031,1285,0,15807282,0.0909,121860,205616335,213607245,0,424,8149237760
2022-09-05 15:34:15,34.148.111.75:26258,1071,874,1.17,0.458,252914624,13615520,14257137,0,0,0.260,0,0,0,0,18481810,2509080,3192,1288,0,15786311,0,127724,226088614,233993770,0,424,10795282432
2022-09-05 15:34:30,34.148.111.75:26258,1071,876,1.33,0.404,253174664,12984283,14142719,0,0,0.117,0,0,0,0,18367450,2513606,3174,1290,0,15775825,0,128746,217289160,225588367,0,424,10517381120
